Rk,Player,Pos,Age,Tm,G,MP,FG%,Dist.,,2P d,0-3 d,3-10 d,10-16 d,16-3P d,3P d,,2P p,0-3 p,3-10 p,10-16 p,16-3P p,3P p,,2P a,3P a,,%FGA du,# du,,%3PA c,3P% c,,Att.,#
94,Wendell Carter Jr.\cartewe01,C,21,ORL,22,583,0.493,9.1,,0.859,0.39,0.215,0.161,0.093,0.141,,0.534,0.75,0.409,0.303,0.316,0.241,,0.745,0.857,,0.127,25,,0.172,0.2,,0,0
95,Michael Carter-Williams\cartemi01,SG,29,ORL,31,800,0.389,10.3,,0.774,0.304,0.307,0.104,0.059,0.226,,0.431,0.622,0.337,0.25,0.25,0.246,,0.344,0.867,,0.03,7,,0.197,0.417,,0,0
96,Alex Caruso\carusal01,PG,26,LAL,58,1216,0.436,14.8,,0.551,0.246,0.144,0.102,0.059,0.449,,0.464,0.653,0.341,0.323,0.222,0.401,,0.487,0.927,,0.039,9,,0.409,0.393,,1,0
97,Willie Cauley-Stein\caulewi01,C,27,DAL,53,906,0.632,3.8,,0.94,0.791,0.082,0.044,0.022,0.06,,0.667,0.694,0.533,0.375,0.75,0.091,,0.825,1,,0.363,53,,0.364,0,,0,0
98,Chris Chiozza\chiozch01,PG,25,BRK,22,232,0.352,16.4,,0.523,0.193,0.159,0.08,0.091,0.477,,0.391,0.529,0.286,0.286,0.375,0.31,,0.389,0.462,,0,0,,0.024,0,,1,0
99,Marquese Chriss\chrisma01,PF,23,GSW,2,27,0.357,11,,0.643,0.5,0.143,0,0,0.357,,0.444,0.571,0,,,0.2,,0.25,1,,0,0,,0.2,0,,0,0
100,Gary Clark\clarkga01,SF-PF,26,TOT,39,654,0.303,21.7,,0.182,0.061,0.083,0.015,0.023,0.818,,0.375,0.875,0.182,0,0,0.287,,0.667,1,,0.015,2,,0.398,0.419,,1,0
100,Gary Clark\clarkga01,SF,26,ORL,35,637,0.305,21.7,,0.176,0.061,0.084,0.015,0.015,0.824,,0.391,0.875,0.182,0,0,0.287,,0.667,1,,0.015,2,,0.398,0.419,,1,0
100,Gary Clark\clarkga01,SF,26,DEN,2,4,,,,,,,,,,,,,,,,,,,,,,0,,,,,0,0
100,Gary Clark\clarkga01,PF,26,PHI,2,13,0,22.2,,1,0,0,0,1,0,,0,,,,0,,,,,,0,0,,,,,0,0
101,Brandon Clarke\clarkbr01,PF,24,MEM,59,1415,0.517,8,,0.844,0.412,0.279,0.131,0.022,0.156,,0.565,0.725,0.428,0.385,0.364,0.26,,0.814,1,,0.145,59,,0.597,0.261,,0,0
102,Jordan Clarkson\clarkjo01,SG,28,UTA,68,1818,0.425,17.2,,0.443,0.09,0.27,0.074,0.008,0.557,,0.523,0.67,0.497,0.488,0.111,0.347,,0.165,0.63,,0.013,11,,0.172,0.301,,1,0
103,Nicolas Claxton\claxtni01,C,21,BRK,32,594,0.621,3.6,,0.966,0.697,0.234,0.021,0.014,0.034,,0.636,0.762,0.353,0,0,0.2,,0.753,1,,0.31,41,,0.4,0,,0,0
104,Amir Coffey\coffeam01,SG,23,LAC,44,394,0.437,16.2,,0.456,0.214,0.146,0.058,0.039,0.544,,0.468,0.682,0.2,0.5,0.25,0.411,,0.636,0.87,,0.019,2,,0.375,0.524,,0,0
105,John Collins\collijo01,PF,23,ATL,63,1848,0.556,10.9,,0.73,0.345,0.204,0.132,0.049,0.27,,0.615,0.752,0.459,0.549,0.474,0.399,,0.723,0.988,,0.147,99,,0.255,0.396,,0,0
106,Mike Conley\conlemi01,PG,33,UTA,51,1498,0.444,17.2,,0.477,0.109,0.209,0.117,0.041,0.523,,0.479,0.557,0.478,0.44,0.385,0.412,,0.253,0.594,,0,0,,0.179,0.433,,3,0
107,Pat Connaughton\connapa01,SG,28,MIL,69,1575,0.434,19.5,,0.297,0.204,0.062,0.013,0.018,0.703,,0.583,0.709,0.333,0.4,0.143,0.371,,0.791,0.97,,0.028,9,,0.221,0.383,,1,0
108,Quinn Cook\cookqu01,PG,27,TOT,23,157,0.426,15.5,,0.618,0.235,0.103,0.088,0.191,0.382,,0.429,0.375,0.571,0.5,0.385,0.423,,0.333,0.455,,0,0,,0.308,0.25,,0,0
108,Quinn Cook\cookqu01,PG,27,LAL,16,62,0.462,18.4,,0.5,0.154,0.038,0.115,0.192,0.5,,0.538,0.25,1,0.667,0.6,0.385,,0.429,0.4,,0,0,,0.308,0.25,,0,0
108,Quinn Cook\cookqu01,PG,27,CLE,7,95,0.405,13.7,,0.69,0.286,0.143,0.071,0.19,0.31,,0.379,0.417,0.5,0.333,0.25,0.462,,0.273,0.5,,0,0,,0.308,0.25,,0,0
109,Tyler Cook\cookty01,SF-PF,23,TOT,32,438,0.67,3.1,,0.981,0.641,0.33,0.01,0,0.019,,0.673,0.758,0.529,0,,0.5,,0.691,1,,0.417,40,,1,0.5,,0,0
109,Tyler Cook\cookty01,PF,23,BRK,4,17,0.333,0.9,,1,1,0,0,0,0,,0.333,0.333,,,,,,1,,,0,0,,,,,0,0
109,Tyler Cook\cookty01,SF,23,DET,28,421,0.68,3.2,,0.98,0.63,0.34,0.01,0,0.02,,0.684,0.778,0.529,0,,0.5,,0.687,1,,0.43,40,,1,0.5,,0,0
110,DeMarcus Cousins\couside01,C,30,TOT,41,713,0.426,13.5,,0.557,0.348,0.17,0.013,0.026,0.443,,0.488,0.547,0.404,0.25,0.375,0.348,,0.47,0.979,,0.056,13,,0.067,0.333,,0,0
110,DeMarcus Cousins\couside01,C,30,HOU,25,506,0.376,15.6,,0.448,0.3,0.129,0.01,0.01,0.552,,0.426,0.476,0.333,0.5,0,0.336,,0.475,0.974,,0.048,8,,0.069,0.375,,0,0
110,DeMarcus Cousins\couside01,C,30,LAC,16,207,0.537,8.9,,0.8,0.453,0.263,0.021,0.063,0.2,,0.566,0.651,0.48,0,0.5,0.421,,0.465,1,,0.074,5,,0.053,0,,0,0
111,Robert Covington\covinro01,PF,30,POR,70,2243,0.401,19.6,,0.301,0.181,0.075,0.016,0.029,0.699,,0.451,0.587,0.211,0.125,0.4,0.379,,0.652,0.948,,0.031,10,,0.126,0.244,,1,0
112,Torrey Craig\craigto01,SF,30,TOT,50,803,0.48,14.4,,0.533,0.304,0.137,0.048,0.044,0.467,,0.579,0.783,0.194,0.727,0.2,0.368,,0.571,0.974,,0.066,14,,0.321,0.265,,0,0
112,Torrey Craig\craigto01,SF,30,MIL,18,201,0.391,14.8,,0.522,0.217,0.239,0.022,0.043,0.478,,0.417,0.8,0.091,1,0,0.364,,0.8,1,,0.087,4,,0.273,0,,0,0
112,Torrey Craig\craigto01,SF,30,PHO,32,602,0.503,14.3,,0.536,0.326,0.11,0.055,0.044,0.464,,0.619,0.78,0.25,0.7,0.25,0.369,,0.533,0.968,,0.061,10,,0.333,0.321,,0,0
113,Jae Crowder\crowdja01,PF,30,PHO,60,1648,0.404,21.9,,0.228,0.075,0.049,0.03,0.073,0.772,,0.455,0.649,0.417,0.267,0.361,0.389,,0.804,0.959,,0.006,2,,0.255,0.402,,0,0
114,Jarrett Culver\culveja01,SG,21,MIN,34,499,0.411,10.1,,0.685,0.405,0.25,0.012,0.018,0.315,,0.487,0.603,0.333,0.5,0,0.245,,0.589,1,,0.101,15,,0.283,0.267,,0,0
115,Seth Curry\curryse01,SG,30,PHI,57,1638,0.467,19.3,,0.493,0.083,0.111,0.096,0.203,0.507,,0.485,0.63,0.426,0.509,0.446,0.45,,0.591,0.857,,0,0,,0.157,0.636,,1,0
116,Stephen Curry\curryst01,PG,32,GSW,63,2152,0.482,19.3,,0.413,0.148,0.136,0.06,0.069,0.587,,0.569,0.663,0.532,0.549,0.457,0.421,,0.411,0.588,,0,0,,0.072,0.397,,11,0
117,Nate Darling\darlina01,SG,22,CHO,7,26,0.286,25.9,,0,0,0,0,0,1,,,,,,,0.286,,,1,,0,0,,0.143,0,,0,0
118,Anthony Davis\davisan02,PF,27,LAL,36,1162,0.491,11.7,,0.837,0.243,0.204,0.232,0.158,0.163,,0.536,0.785,0.536,0.415,0.33,0.26,,0.575,0.962,,0.098,54,,0.16,0.625,,1,0
119,Ed Davis\davised01,C,31,MIN,23,299,0.432,1.9,,1,0.727,0.273,0,0,0,,0.432,0.469,0.333,,,,,0.368,,,0.159,7,,,,,0,0
120,Terence Davis\daviste02,SG,23,TOT,61,1074,0.428,16.6,,0.414,0.235,0.136,0.011,0.033,0.586,,0.513,0.636,0.323,0.6,0.4,0.367,,0.505,0.827,,0.044,20,,0.217,0.431,,0,0
120,Terence Davis\daviste02,SG,23,TOR,34,493,0.414,16.5,,0.419,0.21,0.167,0.014,0.029,0.581,,0.489,0.591,0.4,0.333,0.333,0.361,,0.605,0.841,,0.038,8,,0.262,0.406,,0,0
120,Terence Davis\daviste02,SG,23,SAC,27,581,0.439,16.7,,0.411,0.256,0.11,0.008,0.037,0.589,,0.535,0.667,0.222,1,0.444,0.372,,0.426,0.815,,0.049,12,,0.179,0.462,,0,0
121,Gabriel Deck\deckga01,PF,25,OKC,10,212,0.478,12,,0.776,0.284,0.269,0.104,0.119,0.224,,0.577,0.632,0.5,0.429,0.75,0.133,,0.4,1,,0.015,1,,0.467,0.143,,1,0
122,Dewayne Dedmon\dedmode01,C,31,MIA,16,210,0.708,5.5,,0.923,0.615,0.231,0.031,0.046,0.077,,0.75,0.85,0.533,1,0.333,0.2,,0.689,1,,0.169,10,,0.2,0,,0,0
123,Matthew Dellavedova\dellama01,PG,30,CLE,13,224,0.25,14.3,,0.554,0.161,0.321,0.071,0,0.446,,0.323,0.222,0.389,0.25,,0.16,,0.4,0.75,,0,0,,0.16,0,,0,0
124,DeMar DeRozan\derozde01,PF,31,SAS,61,2056,0.495,11,,0.92,0.191,0.268,0.282,0.178,0.08,,0.515,0.636,0.51,0.459,0.482,0.257,,0.248,0.947,,0.021,17,,0.324,0.292,,0,0
125,Mamadi Diakite\diakima01,PF,24,MIL,14,141,0.4,10.8,,0.8,0.375,0.175,0.125,0.125,0.2,,0.469,0.667,0.286,0.2,0.4,0.125,,0.667,1,,0.175,5,,0.25,0,,0,0
126,Hamidou Diallo\diallha01,SG-SF,22,TOT,52,1226,0.477,9.4,,0.826,0.368,0.274,0.096,0.087,0.174,,0.505,0.682,0.395,0.244,0.39,0.341,,0.434,0.964,,0.06,28,,0.293,0.292,,1,1
126,Hamidou Diallo\diallha01,SG,22,OKC,32,761,0.481,8.7,,0.862,0.401,0.259,0.098,0.104,0.138,,0.512,0.697,0.39,0.207,0.387,0.293,,0.435,0.917,,0.064,19,,0.366,0.333,,1,1
126,Hamidou Diallo\diallha01,SF,22,DET,20,465,0.468,10.5,,0.763,0.312,0.301,0.092,0.058,0.237,,0.492,0.648,0.404,0.313,0.4,0.39,,0.431,1,,0.052,9,,0.22,0.222,,0,0
127,Gorgui Dieng\dienggo01,C,31,TOT,38,552,0.521,14.6,,0.571,0.252,0.141,0.129,0.049,0.429,,0.591,0.78,0.435,0.524,0.25,0.429,,0.6,0.967,,0.074,11,,0.171,0.583,,0,0
127,Gorgui Dieng\dienggo01,C,31,MEM,22,371,0.519,15.3,,0.556,0.222,0.111,0.148,0.074,0.444,,0.55,0.792,0.333,0.5,0.25,0.479,,0.667,0.957,,0.083,8,,0.208,0.6,,0,0
127,Gorgui Dieng\dienggo01,C,31,SAS,16,181,0.527,13.2,,0.6,0.309,0.2,0.091,0,0.4,,0.667,0.765,0.545,0.6,,0.318,,0.5,1,,0.055,3,,0.091,0.5,,0,0
128,Spencer Dinwiddie\dinwisp01,SG,27,BRK,3,64,0.375,12.3,,0.563,0.313,0.25,0,0,0.438,,0.444,0.6,0.25,,,0.286,,0.5,1,,0.063,1,,0.143,1,,0,0
129,Donte DiVincenzo\divindo01,SG,24,MIL,66,1814,0.42,17.2,,0.426,0.257,0.083,0.053,0.033,0.574,,0.475,0.574,0.34,0.281,0.35,0.379,,0.533,0.779,,0.02,8,,0.176,0.426,,1,0
130,Luka Dončić\doncilu01,PG,21,DAL,66,2262,0.479,15.6,,0.594,0.18,0.201,0.153,0.06,0.406,,0.567,0.708,0.507,0.512,0.481,0.35,,0.095,0.234,,0.008,11,,0.031,0.471,,5,0
131,Luguentz Dort\dortlu01,SG,21,OKC,52,1543,0.387,15.4,,0.485,0.233,0.196,0.036,0.02,0.515,,0.432,0.564,0.296,0.391,0.308,0.343,,0.455,0.894,,0.011,7,,0.134,0.432,,0,0
132,Damyean Dotson\dotsoda01,SG,26,CLE,46,907,0.406,18.4,,0.457,0.174,0.075,0.072,0.137,0.543,,0.545,0.667,0.591,0.333,0.475,0.289,,0.493,0.891,,0.007,2,,0.208,0.333,,2,0
133,Devon Dotson\dotsode01,PG,21,CHI,11,50,0.524,12.6,,0.667,0.429,0.095,0.048,0.095,0.333,,0.714,0.889,0.5,0,0.5,0.143,,0.4,1,,0,0,,0.143,0,,0,0
134,Sekou Doumbouya\doumbse01,PF,20,DET,56,869,0.379,12.3,,0.592,0.376,0.167,0.039,0.011,0.408,,0.485,0.642,0.277,0,0,0.226,,0.667,1,,0.082,19,,0.304,0.257,,0,0
135,PJ Dozier\doziepj01,SG,24,DEN,50,1088,0.417,14.5,,0.58,0.239,0.186,0.076,0.079,0.42,,0.49,0.682,0.364,0.259,0.429,0.315,,0.564,0.872,,0.051,12,,0.315,0.298,,2,0
136,Goran Dragić\dragigo01,PG,34,MIA,50,1337,0.432,15.3,,0.56,0.205,0.164,0.142,0.049,0.44,,0.479,0.588,0.396,0.456,0.37,0.373,,0.322,0.802,,0,0,,0.172,0.548,,1,0
137,Andre Drummond\drumman01,C,27,TOT,46,1242,0.493,3.6,,0.986,0.589,0.364,0.026,0.007,0.014,,0.5,0.576,0.409,0.2,0,0,,0.571,,,0.14,64,,0,,,1,0
137,Andre Drummond\drumman01,C,27,CLE,25,722,0.474,3.7,,0.979,0.613,0.332,0.024,0.011,0.021,,0.484,0.545,0.397,0.333,0,0,,0.533,,,0.129,38,,0,,,1,0
137,Andre Drummond\drumman01,C,27,LAL,21,520,0.531,3.5,,1,0.542,0.427,0.031,0,0,,0.531,0.644,0.427,0,,,,0.637,,,0.161,26,,,,,0,0
138,Jared Dudley\dudleja01,PF,35,LAL,12,81,0.222,21.5,,0.333,0,0.111,0.111,0.111,0.667,,0,,0,0,0,0.333,,,0.5,,0,0,,0,,,0,0
139,Kris Dunn\dunnkr01,PG,26,ATL,4,45,0.083,11.4,,0.833,0.167,0.333,0.25,0.083,0.167,,0.1,0.5,0,0,0,0,,0,,,0,0,,0.5,0,,0,0
140,Kevin Durant\duranke01,PF,32,BRK,35,1157,0.537,14.9,,0.687,0.149,0.154,0.254,0.129,0.313,,0.577,0.833,0.473,0.536,0.487,0.45,,0.477,0.647,,0.066,38,,0.074,0.643,,0,0
141,Anthony Edwards\edwaran01,SG,19,MIN,72,2314,0.417,14.2,,0.571,0.306,0.145,0.047,0.072,0.429,,0.483,0.647,0.318,0.246,0.276,0.329,,0.392,0.632,,0.066,70,,0.14,0.301,,3,0
142,Carsen Edwards\edwarca01,SG,22,BOS,31,276,0.423,17.7,,0.432,0.216,0.072,0.018,0.126,0.568,,0.604,0.792,0.375,0.5,0.429,0.286,,0.586,0.667,,0.009,1,,0.27,0.235,,0,0
143,CJ Elleby\ellebcj01,SF,20,POR,30,192,0.379,16.4,,0.485,0.242,0.091,0.076,0.076,0.515,,0.563,0.75,0,0.6,0.6,0.206,,0.444,0.714,,0.045,3,,0.176,0.5,,0,0
144,Henry Ellenson\ellenhe01,PF,24,TOR,2,38,0.357,17.6,,0.357,0.357,0,0,0,0.643,,0.6,0.6,,,,0.222,,0.333,1,,0.071,1,,0.333,0,,0,0
145,Wayne Ellington\ellinwa01,SG,33,DET,46,1012,0.441,22.4,,0.186,0.074,0.033,0.036,0.044,0.814,,0.524,0.6,0.636,0.417,0.4,0.422,,0.758,0.957,,0,0,,0.204,0.321,,0,0
146,Joel Embiid\embiijo01,C,26,PHI,51,1585,0.513,11.8,,0.829,0.219,0.227,0.246,0.137,0.171,,0.541,0.736,0.441,0.48,0.504,0.377,,0.429,0.879,,0.05,41,,0.045,0.571,,1,0
147,James Ennis\ennisja01,SF,30,ORL,41,986,0.473,13.8,,0.572,0.251,0.222,0.066,0.033,0.428,,0.504,0.639,0.352,0.5,0.5,0.433,,0.586,0.933,,0.041,9,,0.24,0.48,,0,0
148,Drew Eubanks\eubandr01,C,23,SAS,54,755,0.566,4.6,,0.99,0.527,0.371,0.034,0.059,0.01,,0.562,0.667,0.408,0.429,0.667,1,,0.772,1,,0.2,37,,1,1,,0,0
149,Dante Exum\exumda01,SG,25,CLE,6,116,0.385,13.1,,0.577,0.269,0.231,0.077,0,0.423,,0.533,0.857,0.333,0,,0.182,,0.625,1,,0.077,2,,0.182,0.5,,0,0
150,Tacko Fall\fallta01,C,25,BOS,19,136,0.724,3.4,,1,0.621,0.345,0,0.034,0,,0.724,0.722,0.7,,1,,,0.619,,,0.448,12,,,,,0,0
151,Derrick Favors\favorde01,C,29,UTA,68,1039,0.638,5.1,,0.992,0.547,0.259,0.132,0.053,0.008,,0.643,0.729,0.619,0.469,0.308,0,,0.781,,,0.128,26,,1,0,,0,0
152,Cristiano Felício\feliccr01,C,28,CHI,18,84,0.538,7.4,,0.846,0.692,0.077,0,0.077,0.154,,0.636,0.778,0,,0,0,,0.429,,,0.077,1,,0,,,0,0
153,Terrance Ferguson\fergute01,SG,22,PHI,13,49,0.143,19.8,,0.286,0.143,0,0,0.143,0.714,,0.5,1,,,0,0,,1,,,0.143,1,,0.6,0,,0,0
154,Bruno Fernando\fernabr01,C,22,ATL,33,226,0.409,4.5,,0.955,0.659,0.182,0.068,0.045,0.045,,0.429,0.586,0,0.333,0,0,,0.833,,,0.205,6,,0.5,0,,0,0
155,Yogi Ferrell\ferreyo01,PG,27,TOT,10,136,0.351,18.3,,0.509,0.105,0.088,0.228,0.088,0.491,,0.379,0.5,0.4,0.385,0.2,0.321,,0.182,0.667,,0,0,,0,,,0,0
155,Yogi Ferrell\ferreyo01,PG,27,CLE,2,40,0.381,17.4,,0.571,0.095,0.143,0.286,0.048,0.429,,0.417,0.5,0.333,0.5,0,0.333,,0.4,1,,0,0,,0,,,0,0
155,Yogi Ferrell\ferreyo01,PG,27,LAC,8,96,0.333,18.7,,0.472,0.111,0.056,0.194,0.111,0.528,,0.353,0.5,0.5,0.286,0.25,0.316,,0,0.5,,0,0,,0,,,0,0
156,Dorian Finney-Smith\finnedo01,PF,27,DAL,60,1921,0.472,17.2,,0.352,0.234,0.086,0.013,0.019,0.648,,0.616,0.752,0.375,0.5,0.111,0.394,,0.614,0.966,,0.067,26,,0.44,0.368,,0,0
157,Malik Fitts\fittsma01,PF,23,LAC,3,11,0.333,17.6,,0.333,0.333,0,0,0,0.667,,0,0,,,,0.5,,,1,,0,0,,0.5,0,,0,0
158,Malachi Flynn\flynnma01,PG,22,TOR,47,928,0.374,17.6,,0.506,0.126,0.174,0.109,0.097,0.494,,0.424,0.605,0.407,0.405,0.242,0.321,,0.082,0.722,,0,0,,0.095,0.375,,1,0
159,Bryn Forbes\forbebr01,SG,27,MIL,70,1354,0.473,21,,0.355,0.045,0.078,0.091,0.142,0.645,,0.511,0.542,0.39,0.604,0.507,0.452,,0.667,0.968,,0.002,1,,0.229,0.449,,0,0
160,Trent Forrest\forretr01,PG,22,UTA,30,302,0.451,12.8,,0.634,0.211,0.296,0.113,0.014,0.366,,0.6,0.533,0.524,0.875,1,0.192,,0.259,1,,0.028,2,,0.654,0.235,,0,0
161,Evan Fournier\fournev01,SF-SG,28,TOT,42,1259,0.457,17.7,,0.477,0.137,0.155,0.092,0.092,0.523,,0.504,0.595,0.5,0.46,0.42,0.413,,0.485,0.786,,0.006,2,,0.155,0.568,,1,0
161,Evan Fournier\fournev01,SF,28,ORL,26,787,0.461,17.2,,0.491,0.152,0.157,0.098,0.084,0.509,,0.536,0.643,0.517,0.528,0.387,0.388,,0.474,0.712,,0.005,2,,0.128,0.542,,0,0
161,Evan Fournier\fournev01,SG,28,BOS,16,472,0.448,18.6,,0.448,0.105,0.151,0.081,0.11,0.552,,0.429,0.444,0.462,0.286,0.474,0.463,,0.515,0.909,,0.006,0,,0.211,0.6,,1,0
162,De'Aaron Fox\foxde01,PG,23,SAC,58,2036,0.477,12.9,,0.712,0.233,0.232,0.151,0.095,0.288,,0.539,0.761,0.426,0.482,0.362,0.322,,0.16,0.524,,0.015,17,,0.094,0.367,,1,0
163,Robert Franks\frankro01,PF,24,ORL,7,101,0.464,16.4,,0.464,0.214,0.143,0.036,0.071,0.536,,0.615,1,0.5,0,0,0.333,,0.25,1,,0,0,,0.2,0.333,,0,0
164,Tim Frazier\fraziti01,PG,30,MEM,5,62,0.15,16.8,,0.6,0.1,0.15,0.25,0.1,0.4,,0.25,1,0,0.2,0,0,,0.333,,,0,0,,0.125,0,,0,0
165,Markelle Fultz\fultzma01,PG,22,ORL,8,215,0.394,11.4,,0.846,0.163,0.365,0.135,0.183,0.154,,0.42,0.706,0.447,0.286,0.211,0.25,,0.081,0.5,,0.029,1,,0.125,0,,0,0
166,Wenyen Gabriel\gabriwe01,PF,23,NOP,21,241,0.4,15,,0.467,0.35,0.083,0.033,0,0.533,,0.393,0.429,0.2,0.5,,0.406,,0.364,1,,0.067,2,,0.313,0.5,,1,0
167,Daniel Gafford\gaffoda01,PF-C,22,TOT,54,791,0.684,3.2,,1,0.573,0.382,0.027,0.018,0,,0.684,0.791,0.57,0.333,0.25,,,0.714,,,0.338,71,,,,,0,0
167,Daniel Gafford\gaffoda01,PF,22,CHI,31,383,0.69,3.2,,1,0.644,0.264,0.046,0.046,0,,0.69,0.786,0.565,0.5,0.25,,,0.65,,,0.368,29,,,,,0,0
167,Daniel Gafford\gaffoda01,C,22,WAS,23,408,0.681,3.3,,1,0.529,0.457,0.014,0,0,,0.681,0.795,0.571,0,,,,0.755,,,0.319,42,,,,,0,0
168,Danilo Gallinari\gallida01,PF,32,ATL,51,1222,0.434,19.4,,0.465,0.084,0.088,0.152,0.141,0.535,,0.466,0.65,0.405,0.472,0.388,0.406,,0.515,0.932,,0.017,6,,0.094,0.333,,2,0
169,Langston Galloway\gallola01,SG,29,PHO,40,438,0.449,19.3,,0.422,0.054,0.109,0.143,0.116,0.578,,0.484,0.5,0.5,0.524,0.412,0.424,,0.8,1,,0,0,,0.494,0.429,,1,0
170,Darius Garland\garlada01,PG,21,CLE,54,1790,0.451,13.1,,0.668,0.238,0.269,0.111,0.05,0.332,,0.479,0.586,0.444,0.393,0.35,0.395,,0.307,0.705,,0.001,1,,0.173,0.435,,0,0
171,Marc Gasol\gasolma01,C,36,LAL,52,993,0.454,19.3,,0.371,0.093,0.134,0.119,0.026,0.629,,0.528,0.778,0.5,0.391,0.4,0.41,,0.737,0.98,,0.015,3,,0.082,0.5,,0,0
172,Rudy Gay\gayru01,PF,34,SAS,63,1358,0.42,17.1,,0.557,0.121,0.139,0.172,0.126,0.443,,0.451,0.605,0.448,0.407,0.367,0.381,,0.405,0.896,,0.037,19,,0.183,0.314,,2,0
173,Paul George\georgpa01,SF,30,LAC,54,1821,0.467,16.2,,0.563,0.185,0.146,0.113,0.12,0.437,,0.51,0.636,0.403,0.444,0.509,0.411,,0.277,0.673,,0.024,19,,0.18,0.56,,4,0
174,Taj Gibson\gibsota01,PF,35,NYK,45,936,0.627,5.8,,0.905,0.601,0.184,0.082,0.038,0.095,,0.671,0.789,0.414,0.538,0.333,0.2,,0.604,1,,0.165,23,,0.467,0.286,,0,0
175,Harry Giles\gilesha01,C,22,POR,38,348,0.433,10.4,,0.763,0.392,0.186,0.093,0.093,0.237,,0.459,0.605,0.333,0,0.556,0.348,,0.412,1,,0.113,9,,0.174,0.75,,0,0
176,Shai Gilgeous-Alexander\gilgesh01,SG,22,OKC,35,1180,0.508,11.6,,0.699,0.333,0.225,0.097,0.044,0.301,,0.547,0.633,0.528,0.382,0.36,0.418,,0.074,0.296,,0.018,10,,0.076,0.462,,0,0
177,Anthony Gill\gillan01,PF,28,WAS,26,218,0.5,12.4,,0.6,0.267,0.317,0,0.017,0.4,,0.639,0.813,0.526,,0,0.292,,0.783,0.857,,0.05,2,,0.375,0.111,,0,0
178,Freddie Gillespie\gillefr01,PF,23,TOR,20,392,0.524,4.5,,1,0.476,0.405,0.119,0,0,,0.524,0.675,0.412,0.3,,,,0.682,,,0.167,12,,,,,0,0
179,Rudy Gobert\goberru01,C,28,UTA,71,2187,0.675,2.7,,0.993,0.77,0.209,0.005,0.009,0.007,,0.68,0.798,0.281,0,0.2,0,,0.767,,,0.432,231,,0.25,0,,3,0
180,Brandon Goodwin\goodwbr01,PG,25,ATL,47,620,0.377,16.1,,0.538,0.233,0.157,0.099,0.049,0.462,,0.433,0.481,0.4,0.455,0.273,0.311,,0.269,0.688,,0,0,,0.107,0.455,,2,0
181,Aaron Gordon\gordoaa01,PF,25,TOT,50,1384,0.463,13.5,,0.647,0.283,0.166,0.132,0.066,0.353,,0.533,0.709,0.398,0.439,0.303,0.335,,0.494,0.831,,0.114,52,,0.188,0.333,,3,0
181,Aaron Gordon\gordoaa01,PF,25,ORL,25,736,0.437,14.9,,0.618,0.225,0.157,0.147,0.089,0.382,,0.475,0.667,0.326,0.442,0.308,0.375,,0.384,0.81,,0.072,19,,0.107,0.333,,2,0
181,Aaron Gordon\gordoaa01,PF,25,DEN,25,648,0.5,11.6,,0.689,0.364,0.18,0.112,0.034,0.311,,0.606,0.747,0.486,0.435,0.286,0.266,,0.605,0.882,,0.175,33,,0.328,0.333,,1,0
182,Eric Gordon\gordoer01,SG,32,HOU,27,789,0.433,17.1,,0.428,0.248,0.153,0.022,0.005,0.572,,0.573,0.747,0.357,0.25,0,0.329,,0.311,0.754,,0.005,2,,0.048,0.5,,0,0
183,Devonte' Graham\grahade01,PG,25,CHO,55,1659,0.377,21.8,,0.287,0.075,0.052,0.072,0.088,0.713,,0.38,0.44,0.286,0.354,0.407,0.375,,0.397,0.771,,0.001,1,,0.103,0.49,,1,0
184,Jerami Grant\grantje01,SF,26,DET,54,1829,0.429,14.6,,0.647,0.207,0.197,0.1,0.143,0.353,,0.473,0.668,0.386,0.366,0.383,0.35,,0.537,0.93,,0.044,37,,0.198,0.369,,0,0
185,Danny Green\greenda02,SF,33,PHI,69,1934,0.412,21.5,,0.206,0.059,0.072,0.042,0.033,0.794,,0.438,0.5,0.333,0.565,0.389,0.405,,0.673,0.92,,0.004,2,,0.456,0.442,,2,0
186,Draymond Green\greendr01,PF,30,GSW,63,1982,0.447,12.2,,0.668,0.347,0.218,0.05,0.053,0.332,,0.535,0.667,0.458,0.211,0.3,0.27,,0.618,0.971,,0.076,27,,0.127,0.375,,2,0
187,JaMychal Green\greenja01,PF,30,DEN,58,1120,0.463,15.5,,0.471,0.249,0.158,0.027,0.037,0.529,,0.534,0.688,0.407,0.2,0.286,0.399,,0.585,1,,0.096,27,,0.273,0.444,,0,0
188,Javonte Green\greenja02,SG-PG,27,TOT,41,473,0.52,10,,0.706,0.441,0.186,0.078,0,0.294,,0.597,0.733,0.368,0.375,,0.333,,0.465,1,,0.196,17,,0.433,0.462,,0,0
188,Javonte Green\greenja02,SG,27,BOS,25,345,0.549,10.5,,0.69,0.408,0.169,0.113,0,0.31,,0.653,0.793,0.5,0.375,,0.318,,0.438,1,,0.211,12,,0.409,0.444,,0,0
188,Javonte Green\greenja02,PG,27,CHI,16,128,0.452,8.7,,0.742,0.516,0.226,0,0,0.258,,0.478,0.625,0.143,,,0.375,,0.545,1,,0.161,5,,0.5,0.5,,0,0
