Rk,Player,Pos,Age,Tm,G,MP,FG%,Dist.,,2P d,0-3 d,3-10 d,10-16 d,16-3P d,3P d,,2P p,0-3 p,3-10 p,10-16 p,16-3P p,3P p,,2P a,3P a,,%FGA du,# du,,%3PA c,3P% c,,Att.,#
20,D.J. Augustin\augusdj01,PG,33,HOU,20,416,0.424,17.8,,0.417,0.192,0.113,0.073,0.04,0.583,,0.476,0.586,0.412,0.364,0.333,0.386,,0.267,0.647,,0,0,,0.125,0.182,,0,0
21,Deni Avdija\avdijde01,SF,20,WAS,54,1257,0.417,16.6,,0.462,0.144,0.237,0.045,0.035,0.538,,0.535,0.733,0.473,0.214,0.545,0.315,,0.727,0.962,,0.048,11,,0.274,0.283,,1,0
22,Deandre Ayton\aytonde01,C,22,PHO,69,2115,0.626,5.5,,0.971,0.53,0.259,0.137,0.045,0.029,,0.639,0.766,0.517,0.479,0.323,0.2,,0.714,1,,0.166,109,,0,,,0,0
23,Udoka Azubuike\azubuud01,C,21,UTA,15,57,0.444,2.9,,1,0.778,0.222,0,0,0,,0.444,0.571,0,,,,,0.75,,,0.444,3,,,,,0,0
24,Dwayne Bacon\bacondw01,SG,25,ORL,72,1853,0.402,12.9,,0.715,0.236,0.226,0.143,0.11,0.285,,0.449,0.579,0.402,0.394,0.338,0.285,,0.408,0.593,,0.014,8,,0.155,0.219,,0,0
25,Marvin Bagley III\baglema01,PF,21,SAC,43,1112,0.504,8.8,,0.78,0.373,0.341,0.041,0.024,0.22,,0.55,0.727,0.383,0.55,0.167,0.343,,0.624,0.919,,0.151,67,,0.426,0.413,,0,0
26,LaMelo Ball\ballla01,PG,19,CHO,51,1469,0.436,13.7,,0.612,0.302,0.174,0.095,0.04,0.388,,0.489,0.576,0.419,0.375,0.407,0.352,,0.284,0.728,,0.018,8,,0.161,0.357,,1,0
27,Lonzo Ball\balllo01,PG,23,NOP,55,1747,0.414,19.4,,0.35,0.153,0.057,0.063,0.077,0.65,,0.482,0.626,0.3,0.386,0.407,0.378,,0.415,0.837,,0.011,8,,0.2,0.396,,2,0
28,Mo Bamba\bambamo01,C,22,ORL,46,725,0.472,13.6,,0.608,0.306,0.166,0.063,0.073,0.392,,0.568,0.728,0.46,0.263,0.409,0.322,,0.577,1,,0.15,38,,0.102,0.417,,0,0
29,Desmond Bane\banede01,SG,22,MEM,68,1519,0.469,17,,0.457,0.176,0.132,0.094,0.054,0.543,,0.513,0.614,0.485,0.426,0.407,0.432,,0.709,0.932,,0.012,5,,0.262,0.493,,0,0
30,Harrison Barnes\barneha02,PF,28,SAC,58,2102,0.497,12.5,,0.601,0.307,0.248,0.044,0.003,0.399,,0.567,0.721,0.415,0.393,0,0.391,,0.584,0.88,,0.059,35,,0.223,0.491,,0,0
