Rk,Player,Pos,Age,Tm,G,MP,FG%,Dist.,,2P d,0-3 d,3-10 d,10-16 d,16-3P d,3P d,,2P p,0-3 p,3-10 p,10-16 p,16-3P p,3P p,,2P a,3P a,,%FGA du,#,,%3PA c,3P% c,,Att.,#
28,RJ Barrett\barrerj01,SG,19,NYK,56,1704,0.402,10.7,,0.729,0.392,0.201,0.065,0.072,0.271,,0.432,0.568,0.267,0.277,0.288,0.32,,0.354,0.937,,0.056,35,,0.299,0.356,,1,0
29,Will Barton\bartowi01,SF,29,DEN,58,1916,0.45,13.5,,0.61,0.286,0.186,0.079,0.06,0.39,,0.498,0.616,0.328,0.414,0.568,0.375,,0.393,0.704,,0.037,25,,0.122,0.486,,1,1
30,Keita Bates-Diop\bateske01,PF-SF,24,TOT,44,744,0.427,12.9,,0.56,0.385,0.128,0.034,0.013,0.44,,0.504,0.611,0.3,0.125,0.333,0.33,,0.667,0.941,,0.034,8,,0.417,0.419,,0,0
31,Nicolas Batum\batumni01,SF,31,CHO,22,505,0.346,18.1,,0.395,0.222,0.012,0.074,0.086,0.605,,0.438,0.611,1,0.333,0,0.286,,0.214,0.929,,0.037,3,,0.388,0.316,,0,0
32,Aron Baynes\baynear01,C,33,PHO,42,934,0.48,13.3,,0.559,0.333,0.171,0.039,0.016,0.441,,0.582,0.638,0.569,0.333,0.167,0.351,,0.734,1,,0.081,28,,0.143,0.25,,0,0
33,Kent Bazemore\bazemke01,SF,30,TOT,68,1688,0.375,14.9,,0.543,0.268,0.139,0.069,0.067,0.457,,0.4,0.531,0.243,0.297,0.306,0.344,,0.491,0.952,,0.026,14,,0.459,0.313,,5,0
34,Darius Bazley\bazleda01,PF,19,OKC,61,1130,0.394,13.7,,0.555,0.287,0.196,0.038,0.035,0.445,,0.432,0.604,0.226,0.25,0.364,0.348,,0.618,0.898,,0.085,24,,0.333,0.298,,0,0
35,Bradley Beal\bealbr01,SG,26,WAS,57,2053,0.455,14.7,,0.631,0.239,0.141,0.135,0.115,0.369,,0.515,0.689,0.397,0.438,0.387,0.353,,0.376,0.635,,0.035,41,,0.119,0.316,,1,0
36,Malik Beasley\beaslma01,SG,23,TOT,55,1209,0.425,16.7,,0.483,0.189,0.129,0.096,0.069,0.517,,0.465,0.634,0.261,0.471,0.378,0.388,,0.667,0.888,,0.03,13,,0.185,0.451,,1,0
37,Marco Belinelli\belinma01,SG,33,SAS,57,883,0.392,20.5,,0.433,0.086,0.048,0.048,0.252,0.567,,0.412,0.667,0.2,0.333,0.38,0.376,,0.893,0.896,,0,0,,0.219,0.41,,0,0
