Rk,Player,Pos,Age,Tm,G,MP,FG%,Dist.,,2P d,0-3 d,3-10 d,10-16 d,16-3P d,3P d,,2P p,0-3 p,3-10 p,10-16 p,16-3P p,3P p,,2P a,3P a,,%FGA du,#,,%3PA c,3P% c,,Att.,#
119,Jarrett Culver\culveja01,SG,20,MIN,63,1506,0.404,12.1,,0.612,0.38,0.186,0.03,0.016,0.388,,0.471,0.583,0.274,0.412,0.222,0.299,,0.396,0.758,,0.06,31,,0.176,0.205,,1,0
120,Seth Curry\curryse01,SG,29,DAL,64,1576,0.495,18.9,,0.441,0.091,0.129,0.105,0.117,0.559,,0.549,0.712,0.446,0.55,0.537,0.452,,0.424,0.8,,0,0,,0.171,0.436,,1,0
121,Stephen Curry\curryst01,PG,31,GSW,5,139,0.402,19.8,,0.402,0.207,0.061,0.012,0.122,0.598,,0.636,0.706,0.4,1,0.6,0.245,,0.333,0.667,,0,0,,0.122,0.333,,0,0
122,Troy Daniels\danietr01,SG,28,TOT,47,532,0.387,21.5,,0.29,0.054,0.065,0.065,0.108,0.71,,0.481,0.7,0.5,0.5,0.35,0.348,,0.769,0.957,,0,0,,0.28,0.432,,0,0
123,Anthony Davis\davisan02,PF,26,LAL,62,2131,0.503,11.1,,0.801,0.343,0.172,0.155,0.13,0.199,,0.546,0.758,0.413,0.412,0.322,0.33,,0.578,0.986,,0.157,157,,0.17,0.432,,3,0
124,Ed Davis\davised01,C,30,UTA,28,303,0.478,3.2,,1,0.609,0.37,0,0.022,0,,0.478,0.607,0.235,,1,,,0.545,,,0.065,3,,,,,0,0
125,Terence Davis\daviste02,SG,22,TOR,72,1209,0.456,15.8,,0.445,0.305,0.089,0.037,0.014,0.555,,0.541,0.677,0.282,0.188,0.167,0.388,,0.419,0.904,,0.055,17,,0.236,0.474,,1,0
126,Dewayne Dedmon\dedmode01,C,30,TOT,44,774,0.4,13.5,,0.58,0.325,0.153,0.047,0.055,0.42,,0.541,0.675,0.333,0.417,0.429,0.206,,0.738,0.955,,0.11,24,,0.187,0.15,,0,0
127,Matthew Dellavedova\dellama01,PG,29,CLE,57,821,0.354,16.6,,0.48,0.137,0.229,0.103,0.011,0.52,,0.488,0.542,0.4,0.611,0.5,0.231,,0.317,0.905,,0,0,,0.165,0.333,,0,0
128,DeMar DeRozan\derozde01,SF,30,SAS,68,2316,0.531,9.9,,0.967,0.266,0.248,0.263,0.19,0.033,,0.54,0.731,0.488,0.475,0.432,0.257,,0.27,0.889,,0.03,30,,0.286,0.4,,2,0
129,Cheick Diallo\diallch01,C,23,PHO,47,479,0.648,5,,0.979,0.613,0.19,0.099,0.077,0.021,,0.655,0.77,0.444,0.571,0.364,0.333,,0.835,1,,0.155,20,,0.667,0.5,,0,0
130,Hamidou Diallo\diallha01,SF,21,OKC,46,896,0.446,8.4,,0.807,0.47,0.223,0.071,0.044,0.193,,0.485,0.633,0.242,0.333,0.385,0.281,,0.638,0.938,,0.142,35,,0.614,0.343,,0,0
131,Gorgui Dieng\dienggo01,C,30,TOT,63,1096,0.456,14.6,,0.582,0.297,0.102,0.077,0.107,0.418,,0.528,0.676,0.324,0.393,0.41,0.355,,0.723,0.963,,0.085,28,,0.263,0.45,,0,0
132,Spencer Dinwiddie\dinwisp01,PG,26,BRK,64,1994,0.415,13.3,,0.608,0.31,0.191,0.078,0.028,0.392,,0.485,0.637,0.354,0.263,0.31,0.308,,0.176,0.496,,0.014,14,,0.13,0.327,,5,0
133,Donte DiVincenzo\divindo01,SG,23,MIL,66,1520,0.455,15.3,,0.516,0.341,0.084,0.039,0.051,0.484,,0.567,0.655,0.302,0.45,0.5,0.336,,0.537,0.819,,0.031,15,,0.158,0.256,,3,0
134,Luka Dončić\doncilu01,PG,20,DAL,61,2047,0.463,14.5,,0.569,0.26,0.237,0.058,0.014,0.431,,0.574,0.752,0.436,0.37,0.471,0.316,,0.171,0.24,,0.012,14,,0.02,0.273,,9,0
135,Luguentz Dort\dortlu01,SF,20,OKC,36,820,0.394,13.2,,0.537,0.372,0.142,0.023,0,0.463,,0.479,0.605,0.226,0,,0.297,,0.643,1,,0.087,17,,0.396,0.325,,0,0
136,Damyean Dotson\dotsoda01,SG,25,NYK,48,836,0.414,19.6,,0.438,0.128,0.055,0.062,0.193,0.562,,0.48,0.676,0.25,0.389,0.446,0.362,,0.541,0.814,,0,0,,0.153,0.32,,0,0
137,Sekou Doumbouya\doumbse01,PF,19,DET,38,754,0.39,12.9,,0.585,0.326,0.195,0.03,0.034,0.415,,0.464,0.545,0.391,0.286,0.25,0.286,,0.719,0.929,,0.072,15,,0.357,0.286,,0,0
138,PJ Dozier\doziepj01,SG,23,DEN,29,412,0.414,14.5,,0.688,0.197,0.197,0.185,0.108,0.312,,0.444,0.677,0.258,0.414,0.412,0.347,,0.333,0.647,,0.006,1,,0.143,0.143,,3,0
139,Goran Dragić\dragigo01,PG,33,MIA,59,1663,0.441,16.2,,0.533,0.182,0.152,0.106,0.093,0.467,,0.505,0.697,0.391,0.338,0.507,0.367,,0.338,0.653,,0,0,,0.169,0.404,,1,0
140,Andre Drummond\drumman01,C,26,TOT,57,1879,0.533,4.3,,0.955,0.589,0.334,0.027,0.005,0.045,,0.551,0.662,0.393,0.19,0,0.143,,0.574,0.8,,0.136,95,,0.2,0.429,,2,0
141,Jared Dudley\dudleja01,PF,34,LAL,45,364,0.4,19.5,,0.3,0.167,0.067,0,0.067,0.7,,0.333,0.3,0.5,,0.25,0.429,,0.833,1,,0,0,,0.262,0.545,,0,0
142,Kris Dunn\dunnkr01,PG,25,CHI,51,1269,0.444,11.3,,0.673,0.398,0.187,0.056,0.032,0.327,,0.535,0.647,0.438,0.263,0.182,0.259,,0.423,0.966,,0.023,8,,0.259,0.276,,1,0
143,Carsen Edwards\edwarca01,SG,21,BOS,37,351,0.328,19.4,,0.406,0.141,0.07,0.063,0.133,0.594,,0.346,0.389,0,0.25,0.529,0.316,,0.5,0.667,,0.008,0,,0.118,0.111,,0,0
144,Henry Ellenson\ellenhe01,C,23,BRK,5,15,0.143,16,,0.429,0.286,0.143,0,0,0.571,,0.333,0.5,0,,,0,,0,,,0,0,,0.5,0,,0,0
145,Wayne Ellington\ellinwa01,SG,32,NYK,36,558,0.351,23.1,,0.178,0.046,0.029,0.006,0.098,0.822,,0.355,0.75,0,1,0.235,0.35,,0.636,0.94,,0,0,,0.105,0.6,,0,0
146,Joel Embiid\embiijo01,C,25,PHI,51,1506,0.477,12.4,,0.785,0.255,0.195,0.202,0.134,0.215,,0.517,0.725,0.468,0.407,0.355,0.331,,0.452,0.912,,0.061,45,,0.035,0.333,,2,0
147,James Ennis\ennisja01,SF-SG,29,TOT,69,1265,0.446,14,,0.529,0.373,0.089,0.039,0.028,0.471,,0.553,0.649,0.313,0.286,0.4,0.325,,0.667,0.891,,0.075,21,,0.337,0.404,,2,0
148,Drew Eubanks\eubandr01,C,22,SAS,22,272,0.642,5.2,,0.985,0.478,0.403,0.06,0.045,0.015,,0.636,0.75,0.556,0.5,0.333,1,,0.69,1,,0.179,11,,1,1,,0,0
149,Jacob Evans\evansja02,SG,22,TOT,29,418,0.336,16.2,,0.709,0.119,0.104,0.194,0.291,0.291,,0.337,0.375,0.214,0.385,0.333,0.333,,0.625,0.923,,0.007,1,,0.256,0.3,,0,0
150,Dante Exum\exumda01,SG,24,TOT,35,485,0.471,11.4,,0.639,0.378,0.252,0.008,0,0.361,,0.539,0.644,0.367,1,,0.349,,0.268,0.8,,0.067,7,,0.302,0.231,,1,0
151,Tacko Fall\fallta01,C,24,BOS,7,33,0.786,2.7,,1,0.643,0.357,0,0,0,,0.786,0.889,0.6,,,,,0.818,,,0.429,6,,,,,0,0
152,Derrick Favors\favorde01,C,28,NOP,51,1243,0.617,4,,0.979,0.681,0.192,0.074,0.032,0.021,,0.627,0.706,0.462,0.44,0.364,0.143,,0.721,1,,0.177,56,,0.714,0.2,,0,0
153,Cristiano Felício\feliccr01,C,27,CHI,22,386,0.63,3.5,,0.963,0.667,0.222,0.056,0.019,0.037,,0.654,0.75,0.5,0.333,0,0,,0.5,,,0.13,6,,0,,,0,0
154,Terrance Ferguson\fergute01,SF,21,OKC,56,1257,0.355,20.4,,0.236,0.123,0.05,0.014,0.05,0.764,,0.558,0.63,0.364,0.667,0.545,0.292,,0.897,0.98,,0.032,5,,0.411,0.319,,0,0
155,Bruno Fernando\fernabr01,C,21,ATL,56,713,0.518,7,,0.814,0.578,0.186,0.04,0.01,0.186,,0.605,0.713,0.297,0.625,0,0.135,,0.694,1,,0.226,38,,0.405,0.067,,0,0
156,Yogi Ferrell\ferreyo01,PG,26,SAC,50,530,0.42,17.4,,0.58,0.149,0.053,0.186,0.191,0.42,,0.505,0.571,0.2,0.514,0.528,0.304,,0.236,0.667,,0,0,,0.177,0.571,,0,0
157,Dorian Finney-Smith\finnedo01,PF,26,DAL,71,2120,0.466,15.5,,0.42,0.326,0.069,0.006,0.019,0.58,,0.589,0.659,0.361,0.333,0.3,0.376,,0.636,0.965,,0.126,57,,0.492,0.436,,0,0
158,Bryn Forbes\forbebr01,SG,26,SAS,63,1579,0.417,21,,0.344,0.069,0.081,0.048,0.146,0.656,,0.47,0.675,0.404,0.393,0.435,0.388,,0.723,0.932,,0,0,,0.089,0.412,,1,0
159,Evan Fournier\fournev01,SF,27,ORL,66,2076,0.467,16.5,,0.533,0.174,0.147,0.104,0.107,0.467,,0.527,0.691,0.474,0.381,0.475,0.399,,0.437,0.827,,0.003,2,,0.143,0.532,,0,0
160,De'Aaron Fox\foxde01,PG,22,SAC,51,1634,0.48,10.8,,0.773,0.312,0.266,0.135,0.06,0.227,,0.535,0.665,0.452,0.391,0.551,0.292,,0.145,0.611,,0.036,23,,0.135,0.16,,2,0
161,Melvin Frazier\frazime01,SG,23,ORL,19,126,0.441,15.6,,0.529,0.206,0.118,0.118,0.088,0.471,,0.389,0.714,0,0.25,0.333,0.5,,0.714,0.75,,0.029,1,,0.375,0.667,,0,0
162,Michael Frazier\frazimi01,SG,25,HOU,13,145,0.241,20.3,,0.207,0.172,0.034,0,0,0.793,,0.5,0.6,0,,,0.174,,1,1,,0.034,1,,0.304,0.429,,0,0
163,Tim Frazier\fraziti01,PG,29,DET,27,355,0.362,15.2,,0.681,0.149,0.213,0.106,0.213,0.319,,0.375,0.571,0.35,0.3,0.3,0.333,,0.292,0.7,,0,0,,0.167,0.6,,0,0
164,Markelle Fultz\fultzma01,PG,21,ORL,72,1996,0.465,10.9,,0.825,0.335,0.194,0.194,0.101,0.175,,0.507,0.645,0.42,0.38,0.462,0.267,,0.3,0.833,,0.036,22,,0.133,0.333,,8,1
165,Wenyen Gabriel\gabriwe01,PF,22,TOT,30,235,0.438,12,,0.583,0.417,0.146,0.021,0,0.417,,0.536,0.7,0,1,,0.3,,0.533,1,,0.167,7,,0.35,0.571,,0,0
166,Daniel Gafford\gaffoda01,C,21,CHI,43,609,0.701,1.8,,1,0.828,0.164,0.007,0,0,,0.701,0.766,0.409,0,,,,0.702,,,0.455,54,,,,,0,0
167,Danilo Gallinari\gallida01,PF,31,OKC,62,1834,0.438,18.5,,0.463,0.152,0.097,0.081,0.133,0.537,,0.476,0.645,0.278,0.424,0.459,0.405,,0.494,0.86,,0.044,31,,0.098,0.372,,1,0
168,Langston Galloway\gallola01,SG,28,DET,66,1702,0.435,18.6,,0.389,0.109,0.137,0.076,0.068,0.611,,0.493,0.678,0.392,0.439,0.459,0.399,,0.712,0.992,,0.002,1,,0.381,0.54,,1,0
169,Darius Garland\garlada01,SG,20,CLE,59,1824,0.401,16,,0.577,0.18,0.153,0.149,0.094,0.423,,0.434,0.468,0.439,0.423,0.379,0.355,,0.28,0.733,,0,0,,0.182,0.389,,0,0
170,Marc Gasol\gasolma01,C,35,TOR,44,1161,0.427,17.3,,0.47,0.125,0.179,0.115,0.05,0.53,,0.473,0.629,0.54,0.375,0.071,0.385,,0.661,1,,0.032,8,,0.095,0.429,,0,0
171,Rudy Gay\gayru01,PF,33,SAS,67,1461,0.446,15.3,,0.631,0.168,0.156,0.193,0.114,0.369,,0.511,0.72,0.366,0.47,0.471,0.336,,0.49,0.851,,0.047,23,,0.268,0.288,,1,0
172,Paul George\georgpa01,SF,29,LAC,48,1419,0.439,17.4,,0.513,0.15,0.125,0.113,0.125,0.487,,0.464,0.684,0.357,0.409,0.357,0.412,,0.339,0.65,,0.02,15,,0.181,0.565,,2,0
173,Taj Gibson\gibsota01,C,34,NYK,62,1025,0.584,6.7,,0.951,0.577,0.136,0.08,0.157,0.049,,0.599,0.703,0.436,0.478,0.422,0.286,,0.724,1,,0.14,34,,0.571,0.25,,0,0
174,Harry Giles\gilesha01,C,21,SAC,46,667,0.554,7.6,,0.992,0.402,0.259,0.167,0.163,0.008,,0.558,0.802,0.369,0.429,0.39,0,,0.748,,,0.171,38,,0.5,0,,0,0
175,Shai Gilgeous-Alexander\gilgesh01,SG,21,OKC,70,2428,0.471,11.4,,0.753,0.286,0.263,0.136,0.068,0.247,,0.512,0.617,0.404,0.5,0.507,0.347,,0.235,0.54,,0.019,19,,0.127,0.438,,0,0
176,Rudy Gobert\goberru01,C,27,UTA,68,2333,0.693,2.1,,1,0.837,0.158,0.005,0,0,,0.693,0.755,0.386,0,,,,0.749,,,0.425,221,,,,,0,0
177,Brandon Goodwin\goodwbr01,PG,24,ATL,34,430,0.4,15.8,,0.542,0.205,0.184,0.116,0.037,0.458,,0.485,0.641,0.371,0.409,0.429,0.299,,0.28,0.615,,0,0,,0.184,0.125,,2,0
178,Aaron Gordon\gordoaa01,PF,24,ORL,62,2017,0.437,12.9,,0.691,0.326,0.126,0.15,0.089,0.309,,0.494,0.704,0.361,0.348,0.162,0.308,,0.5,0.89,,0.124,88,,0.177,0.333,,6,0
179,Eric Gordon\gordoer01,SF,31,HOU,36,1016,0.369,19,,0.346,0.201,0.112,0.019,0.013,0.654,,0.469,0.559,0.385,0.333,0,0.317,,0.533,0.802,,0.011,5,,0.079,0.208,,2,0
180,Devonte' Graham\grahade01,PG,24,CHO,63,2211,0.382,19.4,,0.393,0.132,0.11,0.074,0.077,0.607,,0.397,0.543,0.274,0.352,0.365,0.373,,0.307,0.546,,0.004,4,,0.063,0.432,,3,0
181,Treveon Graham\grahatr01,SF,26,TOT,55,929,0.36,14.6,,0.504,0.256,0.211,0.029,0.008,0.496,,0.443,0.484,0.392,0.571,0,0.275,,0.63,0.97,,0.004,1,,0.292,0.229,,1,0
182,Jerami Grant\grantje01,PF,25,DEN,71,1892,0.478,13.5,,0.603,0.306,0.164,0.069,0.063,0.397,,0.537,0.686,0.413,0.409,0.275,0.389,,0.766,1,,0.109,63,,0.294,0.338,,1,0
183,Jerian Grant\grantje02,SG,27,WAS,6,80,0.37,12.5,,0.704,0.259,0.259,0.111,0.074,0.296,,0.421,0.571,0.286,0.333,0.5,0.25,,0.75,1,,0,0,,0.125,0,,0,0
184,Josh Gray\grayjo01,PG,26,NOP,2,23,0.5,1.7,,1,1,0,0,0,0,,0.5,0.5,,,,,,0,,,0,0,,,,,0,0
185,Danny Green\greenda02,SG,32,LAL,68,1687,0.416,19.4,,0.31,0.135,0.074,0.055,0.046,0.69,,0.524,0.672,0.486,0.462,0.227,0.367,,0.675,0.975,,0.013,5,,0.391,0.398,,0,0
186,Draymond Green\greendr01,PF,29,GSW,43,1222,0.389,15,,0.592,0.231,0.184,0.092,0.085,0.408,,0.465,0.685,0.31,0.414,0.259,0.279,,0.724,1,,0.019,6,,0.093,0.333,,0,0
187,JaMychal Green\greenja01,PF,29,LAC,63,1307,0.429,18.4,,0.324,0.205,0.085,0.014,0.02,0.676,,0.518,0.611,0.333,0.6,0.286,0.387,,0.576,1,,0.04,12,,0.231,0.4,,0,0
188,Javonte Green\greenja02,SG,26,BOS,48,468,0.5,9.2,,0.738,0.468,0.23,0.032,0.008,0.262,,0.581,0.661,0.414,0.5,1,0.273,,0.63,1,,0.175,18,,0.364,0.333,,1,0
189,Jeff Green\greenje02,PF-C,33,TOT,48,960,0.462,16,,0.468,0.265,0.16,0.026,0.017,0.532,,0.602,0.747,0.436,0.333,0.333,0.339,,0.67,0.952,,0.09,27,,0.388,0.38,,7,0
190,Blake Griffin\griffbl01,PF,30,DET,18,512,0.352,13.8,,0.556,0.276,0.212,0.036,0.032,0.444,,0.439,0.565,0.358,0.222,0.125,0.243,,0.393,0.593,,0.02,5,,0.216,0.167,,0,0
191,Marko Guduric\gudurma01,SG,24,MEM,44,484,0.395,16.4,,0.471,0.242,0.108,0.032,0.089,0.529,,0.5,0.605,0.412,0.2,0.429,0.301,,0.568,0.96,,0.006,1,,0.241,0.3,,0,0
192,Kyle Guy\guyky01,SG,22,SAC,3,10,0.4,19.9,,0.4,0.2,0,0,0.2,0.6,,1,1,,,1,0,,1,,,0,0,,0.333,0,,0,0
193,Rui Hachimura\hachiru01,PF,21,WAS,48,1444,0.466,10.5,,0.84,0.343,0.196,0.16,0.141,0.16,,0.5,0.684,0.327,0.379,0.429,0.287,,0.629,1,,0.086,45,,0.253,0.318,,3,0
194,Devon Hall\hallde01,PG,24,OKC,11,81,0.2,17.7,,0.433,0.133,0.167,0.1,0.033,0.567,,0.154,0.5,0,0,0,0.235,,0.5,0.75,,0,0,,0.176,0,,0,0
195,Donta Hall\halldo01,C-PF,22,TOT,9,133,0.682,3,,1,0.818,0.136,0.045,0,0,,0.682,0.722,0.667,0,,,,0.867,,,0.318,6,,,,,0,0
196,Dusty Hannahs\hannadu01,SG,26,MEM,2,13,0.444,14.4,,0.667,0.111,0.444,0,0.111,0.333,,0.333,1,0.25,,0,0.667,,0.5,0.5,,0,0,,0,,,0,0
197,Tim Hardaway Jr.\hardati02,SG,27,DAL,71,2091,0.434,18.6,,0.42,0.131,0.11,0.08,0.098,0.58,,0.485,0.612,0.351,0.507,0.448,0.398,,0.517,0.838,,0.023,17,,0.24,0.447,,3,0
198,James Harden\hardeja01,SG,30,HOU,68,2483,0.444,16.6,,0.443,0.243,0.177,0.018,0.005,0.557,,0.556,0.668,0.414,0.444,0.5,0.355,,0.139,0.171,,0.015,20,,0.045,0.342,,1,0
199,Maurice Harkless\harklma01,PF-SF,26,TOT,62,1427,0.502,10.4,,0.654,0.519,0.095,0.014,0.025,0.346,,0.584,0.667,0.222,0.5,0.286,0.347,,0.639,0.912,,0.205,49,,0.551,0.37,,0,0
200,Jared Harper\harpeja01,PG,22,PHO,3,8,0.25,16.2,,0.5,0,0.5,0,0,0.5,,0.5,,0.5,,,0,,0,,,0,0,,0,,,0,0
201,Montrezl Harrell\harremo01,C,26,LAC,63,1749,0.58,4.2,,0.978,0.61,0.305,0.046,0.017,0.022,,0.593,0.705,0.44,0.297,0.143,0,,0.618,,,0.172,134,,0,,,6,0
202,Gary Harris\harriga01,SG,25,DEN,56,1780,0.42,13.9,,0.595,0.291,0.148,0.081,0.075,0.405,,0.479,0.649,0.234,0.286,0.513,0.333,,0.757,0.9,,0.05,25,,0.295,0.484,,1,0
203,Joe Harris\harrijo01,SF,28,BRK,69,2123,0.486,15.5,,0.482,0.29,0.111,0.029,0.052,0.518,,0.553,0.652,0.356,0.478,0.463,0.424,,0.766,0.959,,0.003,2,,0.17,0.507,,0,0
204,Tobias Harris\harrito02,PF,27,PHI,72,2469,0.471,13.2,,0.696,0.229,0.214,0.157,0.095,0.304,,0.517,0.662,0.482,0.467,0.33,0.367,,0.479,0.863,,0.049,52,,0.19,0.441,,0,0
205,Shaquille Harrison\harrish01,SG,26,CHI,43,484,0.467,9.1,,0.745,0.515,0.17,0.048,0.012,0.255,,0.496,0.576,0.286,0.5,0,0.381,,0.508,0.813,,0.03,5,,0.381,0.313,,2,0
206,Josh Hart\hartjo01,SF,24,NOP,65,1755,0.423,18.2,,0.335,0.211,0.073,0.038,0.013,0.665,,0.584,0.688,0.538,0.25,0.143,0.342,,0.462,0.967,,0.008,4,,0.277,0.418,,0,0
207,Isaiah Hartenstein\harteis01,C,21,HOU,23,266,0.657,4.2,,0.925,0.716,0.179,0.03,0,0.075,,0.71,0.792,0.417,0.5,,0,,0.818,,,0.179,12,,0.2,0,,0,0
208,Udonis Haslem\hasleud01,C,39,MIA,4,44,0.364,10.4,,0.727,0.364,0.273,0,0.091,0.273,,0.375,0.25,0.667,,0,0.333,,1,1,,0.091,0,,0,,,0,0
209,Jaxson Hayes\hayesja02,C,19,NOP,64,1080,0.672,2.8,,0.985,0.838,0.124,0.023,0,0.015,,0.678,0.751,0.25,0.333,,0.25,,0.809,1,,0.432,101,,0.25,1,,3,0
210,Gordon Hayward\haywago01,SF,29,BOS,52,1740,0.5,14,,0.683,0.213,0.186,0.171,0.113,0.317,,0.554,0.752,0.446,0.492,0.456,0.383,,0.487,0.835,,0.04,27,,0.216,0.396,,1,0
211,John Henson\hensojo01,C,29,TOT,40,600,0.556,8.2,,0.789,0.462,0.31,0.006,0.012,0.211,,0.644,0.785,0.453,1,0,0.222,,0.77,1,,0.175,29,,0.278,0.3,,1,0
212,Dewan Hernandez\hernade01,C,23,TOR,6,28,0.357,5.9,,0.857,0.643,0.214,0,0,0.143,,0.333,0.222,0.667,,,0.5,,0.25,1,,0,0,,0,,,0,0
213,Juan Hernangómez\hernaju01,PF,24,TOT,48,833,0.405,14.7,,0.478,0.352,0.097,0.02,0.008,0.522,,0.475,0.575,0.167,0.4,0,0.341,,0.679,0.977,,0.077,16,,0.217,0.357,,1,0
214,Willy Hernangómez\hernawi01,C,25,CHO,31,375,0.532,7.3,,0.842,0.489,0.273,0.058,0.022,0.158,,0.59,0.706,0.447,0.375,0.333,0.227,,0.58,1,,0.115,14,,0.136,0.333,,0,0
215,Tyler Herro\herroty01,SG,20,MIA,55,1508,0.428,18,,0.528,0.122,0.106,0.116,0.184,0.472,,0.462,0.584,0.433,0.425,0.422,0.389,,0.474,0.784,,0.005,3,,0.151,0.467,,2,0
216,Kevin Hervey\herveke01,PF,23,OKC,10,52,0.259,22.2,,0.259,0.074,0.037,0.037,0.111,0.741,,0.571,1,0,0,0.667,0.15,,0.5,0.667,,0,0,,0.1,0.5,,0,0
217,Mario Hezonja\hezonma01,PF,24,POR,53,871,0.422,13.1,,0.642,0.33,0.165,0.078,0.069,0.358,,0.486,0.5,0.528,0.471,0.333,0.308,,0.441,0.917,,0.046,8,,0.167,0.154,,1,0
218,Buddy Hield\hieldbu01,SG,27,SAC,72,2216,0.429,19.1,,0.408,0.13,0.078,0.082,0.118,0.592,,0.479,0.675,0.352,0.4,0.401,0.394,,0.396,0.723,,0.015,16,,0.172,0.483,,0,0
219,George Hill\hillge01,PG,33,MIL,59,1271,0.516,15,,0.532,0.301,0.112,0.059,0.061,0.468,,0.565,0.761,0.214,0.364,0.435,0.46,,0.469,0.642,,0.029,11,,0.233,0.512,,1,0
220,Solomon Hill\hillso01,PF,28,TOT,59,1088,0.396,18.2,,0.385,0.147,0.147,0.032,0.058,0.615,,0.439,0.463,0.415,0.333,0.5,0.368,,0.553,0.921,,0.018,4,,0.246,0.452,,0,0
221,Jaylen Hoard\hoardja01,PF,20,POR,13,103,0.469,5.6,,0.906,0.625,0.156,0.094,0.031,0.094,,0.517,0.75,0,0,0,0,,0.467,,,0.031,1,,0,,,0,0
222,Aaron Holiday\holidaa01,PG,23,IND,66,1617,0.414,15.1,,0.607,0.215,0.178,0.11,0.105,0.393,,0.427,0.57,0.33,0.323,0.407,0.394,,0.288,0.839,,0.005,2,,0.167,0.432,,1,0
223,Jrue Holiday\holidjr01,SG,29,NOP,61,2117,0.455,12.1,,0.656,0.337,0.214,0.07,0.036,0.344,,0.509,0.628,0.372,0.486,0.25,0.353,,0.31,0.574,,0.026,22,,0.147,0.431,,2,0
224,Justin Holiday\holidju01,SF,30,IND,73,1826,0.428,19.6,,0.319,0.16,0.047,0.045,0.066,0.681,,0.477,0.59,0.261,0.364,0.438,0.405,,0.77,0.978,,0.047,18,,0.39,0.403,,3,0
225,Rondae Hollis-Jefferson\holliro01,PF,25,TOR,60,1122,0.471,4.8,,0.93,0.657,0.191,0.061,0.021,0.07,,0.497,0.569,0.302,0.45,0.143,0.13,,0.645,1,,0.091,26,,0.565,0,,1,0
226,Richaun Holmes\holmeri01,C,26,SAC,44,1242,0.648,4.6,,1,0.57,0.27,0.137,0.023,0,,0.648,0.75,0.473,0.638,0.25,,,0.744,,,0.233,75,,,,,0,0
227,Rodney Hood\hoodro01,SF,27,POR,21,619,0.506,16.2,,0.587,0.116,0.163,0.186,0.122,0.413,,0.515,0.8,0.286,0.5,0.571,0.493,,0.308,0.886,,0.023,4,,0.366,0.538,,0,0
228,Al Horford\horfoal01,C,33,PHI,67,2025,0.45,15.4,,0.601,0.189,0.178,0.111,0.123,0.399,,0.516,0.746,0.381,0.456,0.414,0.35,,0.614,0.98,,0.037,24,,0.127,0.278,,0,0
229,Talen Horton-Tucker\hortota01,SG,19,LAL,6,81,0.467,13.1,,0.567,0.3,0.233,0.033,0,0.433,,0.588,0.778,0.429,0,,0.308,,0.6,1,,0.067,1,,0.308,0.25,,0,0
230,Danuel House\houseda01,SF,26,HOU,63,1913,0.427,17.6,,0.341,0.243,0.065,0.024,0.009,0.659,,0.549,0.679,0.2,0.308,0.2,0.363,,0.733,0.946,,0.072,31,,0.414,0.354,,2,0
231,Dwight Howard\howardw01,C,34,LAL,69,1306,0.729,2.5,,0.982,0.794,0.181,0,0.007,0.018,,0.732,0.814,0.38,,0.5,0.6,,0.618,1,,0.448,116,,0.2,0,,0,0
232,William Howard\howarwi01,PF,26,HOU,2,13,0,25.3,,0,0,0,0,0,1,,,,,,,0,,,,,0,0,,0.25,0,,0,0
233,Kevin Huerter\huertke01,SG,21,ATL,56,1760,0.413,18.1,,0.452,0.139,0.118,0.121,0.074,0.548,,0.453,0.576,0.417,0.419,0.333,0.38,,0.392,0.85,,0.018,10,,0.165,0.455,,1,0
234,De'Andre Hunter\huntede01,SF,22,ATL,63,2018,0.41,15.6,,0.555,0.225,0.133,0.085,0.111,0.445,,0.454,0.591,0.297,0.379,0.421,0.355,,0.564,0.944,,0.037,19,,0.336,0.363,,1,0
235,Chandler Hutchison\hutchch01,SF,23,CHI,28,527,0.457,8,,0.783,0.509,0.229,0.04,0.006,0.217,,0.496,0.607,0.3,0.286,0,0.316,,0.618,1,,0.137,20,,0.553,0.381,,0,0
236,Serge Ibaka\ibakase01,C,30,TOR,55,1485,0.512,12.4,,0.728,0.24,0.264,0.11,0.113,0.272,,0.559,0.764,0.492,0.459,0.382,0.385,,0.799,1,,0.09,55,,0.11,0.25,,0,0
237,Andre Iguodala\iguodan01,SF,36,MIA,21,418,0.432,16.4,,0.466,0.261,0.068,0.068,0.068,0.534,,0.585,0.739,0.333,0.167,0.667,0.298,,0.667,0.929,,0.08,7,,0.468,0.318,,1,0
238,Ersan İlyasova\ilyaser01,PF,32,MIL,63,986,0.466,14.1,,0.562,0.3,0.163,0.061,0.038,0.438,,0.545,0.649,0.373,0.474,0.583,0.365,,0.802,0.98,,0.01,3,,0.234,0.313,,0,0
239,Joe Ingles\inglejo01,PF,32,UTA,72,2137,0.445,18.3,,0.362,0.13,0.156,0.056,0.02,0.638,,0.525,0.736,0.384,0.484,0.364,0.399,,0.371,0.652,,0.004,2,,0.21,0.365,,1,0
240,Brandon Ingram\ingrabr01,PF,22,NOP,62,2104,0.463,14.2,,0.65,0.248,0.128,0.167,0.107,0.35,,0.501,0.654,0.371,0.421,0.427,0.391,,0.317,0.887,,0.058,56,,0.26,0.44,,2,0
241,Kyrie Irving\irvinky01,PG,27,BRK,20,658,0.478,14.6,,0.659,0.19,0.173,0.195,0.101,0.341,,0.522,0.671,0.444,0.506,0.405,0.394,,0.203,0.357,,0,0,,0.099,0.5,,0,0
